formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
0.96(K0.5Na0.5)(Nb0.98Ta0.02)O3-0.01Bi(Ni0.67Nb0.33)O3-0.03(Bi0.5K0.5)HfO3,331,365,0,none,none,,none,tgg,-,-,-,-,-,tgg,soft,https://doi.org/10.1002/adfm.202414348,"Adv. Funct. Mater. 2024 Hua et al. - Textured KNN-BNN-BKHF: d33=331 Tc=365 high Tc+high d33 via PNR embedding and texture" | "Hua et al. Broad Temperature Plateau for High Piezoelectric Coefficient by Embedding PNRs in Single-Phase KNN. Adv. Funct. Mater. 2025 doi:10.1002/adfm.202414348" | "Hf (hafnium in BKHF) Ni (nickel in BNN Bi(Ni0.67Nb0.33)O3)" | "Two potentially unsupported elements. Formula as published. TGG method used for texturing. Sintering temp not given in abstract. Both kp and Qm not given in abstract."
K0.5Na0.5NbO3,117,420,0,none,none,,none,conventional,-,-,-,-,900,conventional,soft,https://doi.org/10.3390/ma15196603,MDPI Materials 2022 Serrazina et al. - KNN flash-sintered at 900C only: d33=117 pC/N Pr=21 μC/cm² slightly superior to conventional due to reduced secondary phases. Mapped to fabrication_method=conventional as closest proxy — see validation_notes. | Serrazina R. et al. Flash Sintered Potassium Sodium Niobate: High-Performance Piezoelectric Ceramics at Low Thermal Budget Processing. Materials 2022 15(19):6603 doi:10.3390/ma15196603 | - | "SCHEMA UPDATE NEEDED: Fabrication method is flash sintering (electric field + current assisted sintering at 900C only) which is NOT in current allowed values (conventional|hot_press|sps|rtgg|tgg|two_step|electrospinning|solvent_cast|cold_sinter|hot_compression). Recommend adding 'flash' to fabrication_method and sintering_method enum. Provisionally mapped to 'conventional' until schema is updated. Formula K0.5Na0.5NbO3 is fully supported — only the processing method needs schema addition."


(K0.46Na0.54)NbO3,97,,0,none,none,,none,conventional,-,1850,0.36,-,-,conventional,hard,https://www.sciencedirect.com/science/article/abs/pii/S0272884211009205,Ceram. Int. 2011 - 0.55mol%K4CuNb8O23-(K0.46Na0.54)NbO3 hard ceramic (KCN-KNN x=0.54): d33=97 kp=36% Qm=1850 highest Qm reported for KNN-based lead-free ceramics. Formula simplified to base KNN; CuO equivalent is from K4CuNb8O23 modifier not a direct substitution. | Effect of K/Na ratio on piezoelectric properties of modified-(K1-xNax)NbO3 Hard lead-free piezoelectrics. Ceram. Int. 2011 doi:10.1016/j.ceramint.2011.09.020 (DOI format inferred; pii S0272884211009205 confirmed) | - | "Formula simplified: actual material contains 0.55mol% K4CuNb8O23 (KCN) two-phase modifier in KNN host. Cu element appears in B-site of chunk3 row 1 (KNN-5Ho-4CN) without being flagged — Cu is likely in element registry. Tc not stated in source snippet — leave blank until verified. If Cu is confirmed supported and full KCN-KNN formula can be written correctly | move to chunk1. Recommend formula verification against full paper."
(Bi0.74Ba0.25K0.01)(Fe0.74Ti0.25Nb0.01)O3,163,604,0,none,none,,none,conventional,-,-,0.43,-,-,conventional,soft,https://www.sciencedirect.com/science/article/abs/pii/S0925838823004401,J. Alloys Compd. 2023 Cui et al. - 0.74BiFeO3-0.25BaTiO3-0.01KNbO3 site engineering K+Nb co-doping: d33=163 kp=43% Tc=604C outstanding high-temperature stability to 540C verified. Formula derived from published 0.74BiFeO3-0.25BaTiO3-0.01KNbO3 composition. Sintering temp not stated in snippet. | Cui Y. et al. Achieving high Curie temperature and prominent piezoelectric response via site engineering for BiFeO3-BaTiO3 ceramics. J. Alloys Compd. 2023 doi:10.1016/j.jallcom.2023.168441 (DOI format inferred; pii S0925838823004401 confirmed) | Fe (iron) | "Fe is primary B-site ion in BiFeO3 component. Verify Fe is in element registry. If supported move to chunk2. Sintering temp for BFO-BT ceramics typically 950-1000C but not confirmed for this composition — do not fill until verified. Formula (Bi0.74Ba0.25K0.01)(Fe0.74Ti0.25Nb0.01)O3 derived by expanding 0.74BiFeO3-0.25BaTiO3-0.01KNbO3 in ABO3 perovskite notation."
Pb(Zr0.52Ti0.48)O3-Pb(Mn1/3Sb2/3)O3-Pb(Zn1/3Nb2/3)O3,300,270,0,none,none,,none,conventional,-,1899,0.55,-,1120,conventional,hard,https://doi.org/10.1016/j.materresbull.2008.07.012,Mater. Res. Bull. 2009 - PZT-PMS-PZN + 0.2wt%MnO2 + 0.6wt%WO3 + 0.1wt%ZnO: d33=300 Qm=1899 kp=0.55 Tc=270°C. Base formula without dopants shown. | Li H. et al. Effect of ZnO addition on the sintering and electrical properties of (Mn <comma> W)-doped PZT-PMS-PZN ceramics. Mater. Res. Bull. 2009 44(3):638-643
0.05Pb(Al0.5Nb0.5)O3-0.95Pb(Zr0.52Ti0.48)O3,430,392,0,none,none,,none,conventional,-,1725,0.616,-,1200,conventional,hard,https://www.scilit.net/publications/42a250803c75ebd51830c9b37fdab713,Scilit/Japanese J. Appl. Phys. 2007 - PAN-PZT + 0.7wt%Nb2O5 + 0.5wt%MnO2: d33=430 Qm=79 (soft) to d33=340 Qm=1725 Tc=392 (hard). Hard variant shown. | Piezoelectric and Dielectric Properties of 0.05Pb(Al0.5Nb0.5)O3-0.95Pb(Zr0.52Ti0.48)O3 Ceramics Doped with Nb2O5 and MnO2. Jpn. J. Appl. Phys. 2007


Pb(Mg1/3Nb2/3)O3-PbTiO3,1500,,0,none,none,,none,single_crystal,-,-,-,-,,,single_crystal,https://par.nsf.gov/biblio/10680148,NSF PAR / J. Appl. Phys. 2026 - PMN-PT single crystal ACP: d33>1500 Tc~365K (~92°C). Single crystal not ceramic; use for reference. | Cryogenic to beyond Curie temperature dielectric and piezoelectric properties of PMN-PT single crystals. J. Appl. Phys. 2026 139(8)
V2O5-Pb(Sc1/2Nb1/2)O3-Pb(Mg1/3Nb2/3)O3-PbTiO3,1600,174,0,none,none,,none,single_crystal,-,-,-,-,,,single_crystal,https://doi.org/10.2139/ssrn.4028023,"SSRN / J. Alloys Compd. 2022 - V2O5-doped PSN-PMN-PT crystal: d33≈1600 Tc≈174°C. Exact composition ratios not fully disclosed in snippet; use as reference." | Lei J. et al. Excellent Electrical Properties and High Curie Temperature in V2O5-Modified PSN-PMN-PT Ferroelectric Crystal. SSRN 2022
Pb(Zn1/3Nb2/3)O3-PbTiO3,1500,,0,none,none,,none,single_crystal,-,-,-,-,,,single_crystal,https://www.infona.pl/resource/bwmeta1.element.ieee-art-000005587391,IEEE Trans. Ultrason. Ferroelectr. Freq. Control review - PZN-PT single crystals: d33>1500 k33>0.90. Review data; exact composition not single-valued. | Zhang S. et al. Relaxor-PT single crystals: observations and developments. IEEE Trans. UFFC
(Bi0.74Ba0.25K0.01)(Fe0.74Ti0.25Nb0.01)O3,163,604,0,none,none,,none,conventional,-,-,0.43,-,-,conventional,soft,https://doi.org/10.1016/j.jallcom.2023.168441,J. Alloys Compd. 2023 - 0.74BiFeO3-0.25BaTiO3-0.01KNbO3: d33=163 kp=0.43 Tc=604°C. High-Tc lead-free. | Cui Y. et al. Achieving high Curie temperature and prominent piezoelectric response via site engineering for BiFeO3-BaTiO3 ceramics. J. Alloys Compd. 2023
